"filename", "language", "Properties", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "TypeScript JSX", "Prisma", "CSS", "Markdown", "SQL", "comment", "blank", "total"
"c:\Dev\pos-system\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"c:\Dev\pos-system\.eslintrc.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Dev\pos-system\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 14, 35
"c:\Dev\pos-system\app\actions.ts", "TypeScript", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 14, 20, 149
"c:\Dev\pos-system\app\api\activeCategories\route.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 13, 15, 55
"c:\Dev\pos-system\app\api\createOrder\route.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 9, 37
"c:\Dev\pos-system\app\api\getActiveOrders\route.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 13, 39
"c:\Dev\pos-system\app\api\getAllOrdersByDate\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 13, 34
"c:\Dev\pos-system\app\api\getAllOrders\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 13, 34
"c:\Dev\pos-system\app\api\getAllProducts\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 9, 30
"c:\Dev\pos-system\app\api\getAllTipsLastWeek\route.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 14, 53
"c:\Dev\pos-system\app\api\getAllUsers\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 9, 30
"c:\Dev\pos-system\app\api\getDoesUserExist\[pin]\route.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 8, 31
"c:\Dev\pos-system\app\api\getGiftCards\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 9, 30
"c:\Dev\pos-system\app\api\getProductsFromCategory\[slug]\route.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 7, 29
